0.0	0.0
3.06	1.31
0.13	0.02
-2.58	-0.66
-0.4	-0.61
-2.14	0.81
0.27	0.42
4.03	0.82
0.99	1.69
-0.77	0.08
2.41	1.82
0.83	-0.26
-4.99	-3.39
0.32	-1.11
3.3	0.2
-1.11	0.03
4.77	2.11
2.04	0.65
-4.07	0.47
1.89	1.8
3.18	2.06
10.46	4.66
7.19	2.96
3.66	1.8
4.39	2.41
0.16	-0.57
-4.58	-1.56
-6.14	-1.05
-3.15	-1.2
-2.22	-0.83
-4.55	0.65
2.87	2.41
0.98	0.93
-3.39	2.26
8.75	3.43
8.01	3.05
15.67	2.86
5.96	0.43
-2.46	-1.53
-3.87	-1.26
-3.7	-1.58
-15.36	-0.69
-3.81	-1.73
-0.87	-1.55
6.0	-1.11
-3.27	-1.75
-5.27	-1.59
-2.16	-1.23
-0.49	-1.55
9.11	1.48
4.11	2.12
0.18	2.44
2.95	2.37
-1.42	0.39
1.4	0.66
7.47	2.36
7.55	2.1
0.61	0.67
-7.4	-1.83
-5.31	-2.4
-1.38	-2.34
-1.72	-2.04
-2.8	-1.34
-3.5	-1.08
2.99	-0.57
0.6	-0.13
-2.46	-0.04
-1.04	0.08
-1.09	-0.41
-2.46	-0.4
0.61	-0.77
1.49	-0.87
1.09	-0.14
-4.56	-0.63
-2.61	-0.2
-1.51	0.04
0.8	-0.36
0.24	0.05
-1.32	-0.19
1.53	0.0
0.36	0.25
0.68	0.09
-0.83	-0.11
0.22	0.12
2.47	0.03
1.7	0.24
0.72	0.2
1.8	0.03
0.01	-0.1
-0.89	-0.15
-1.67	0.31
-2.31	-0.26
-0.51	0.33
-1.19	0.19
0.55	0.48
1.89	0.2
0.47	-0.15
-0.57	-0.39
0.99	0.48
0.4	0.21
1.28	0.33
-0.04	0.44
-0.34	0.51
-0.22	0.29
-0.13	0.38
-0.14	0.15
0.88	0.29
0.18	0.26
-0.49	0.39
0.04	0.17
-0.75	-0.16
0.87	0.81
1.48	0.43
0.5	0.14
0.42	0.45
1.08	0.6
0.4	0.56
-0.37	0.22
0.12	0.24
0.29	0.32
0.29	0.1
-0.26	0.48
